PMID,DOI,First_Author,Year,Title,Journal,Publication_Type,Original_Operational_Analysis_Group,Eligibility_Outcome,Eligibility_Code,Final_Operational_Analysis_Group,Analytic_Set_Decision,Narrative_Context_Status,Trigger_Rule_IDs,Evidence_Level,Eligibility_Rationale
33167009,10.1093/humrep/deaa258,Boitrelle F,2020,Predicting sperm extraction in non-obstructive azoospermia patients.,"Human reproduction (Oxford, England)",Comment; Letter,Andrology,INCLUDE,,Andrology,INCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_FULLTEXT_CONFIRMATION,FULL_TEXT,"This andrology-specific critique substantively evaluates a machine-learning model for sperm retrieval in non-obstructive azoospermia, including cohort bias, model structure, specificity, and false-positive counselling risk."
32153047,10.1002/pros.23968,Connell SP,2020,Development of a multivariable risk model integrating urinary cell DNA methylation and cell-free RNA data for the detection of significant prostate cancer.,The Prostate,"Journal Article; Research Support, Non-U.S. Gov't",Benign/Functional,OPERATIONAL_ANALYSIS_GROUP_CORRECTION,C01_OPERATIONAL_ANALYSIS_GROUP_CORRECTION,Prostate Pathology,INCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_DOMAIN_CORRECTION,PUBMED_ABSTRACT,"The random-forest urine-biomarker model detects clinically significant prostate cancer, so the record belongs in Prostate Pathology rather than Benign/Functional."
32727146,10.3390/s20154175,Akkus Z,2020,Fully Automated Segmentation of Bladder Sac and Measurement of Detrusor Wall Thickness from Transabdominal Ultrasound Images.,"Sensors (Basel, Switzerland)",Letter,Benign/Functional,INCLUDE,,Benign/Functional,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Fully Automated Segmentation of Bladder Sac and Measurement of Detrusor Wall Thickness from Transabdominal Ultrasound Images.'.
33148625,10.1126/scitranslmed.aay5067,Kanjilal S,2020,A decision algorithm to promote outpatient antimicrobial stewardship for uncomplicated urinary tract infection.,Science translational medicine,"Journal Article; Research Support, Non-U.S. Gov't",Benign/Functional,INCLUDE,,Benign/Functional,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'A decision algorithm to promote outpatient antimicrobial stewardship for uncomplicated urinary tract infection.'.
31396730,10.1007/s00330-019-06371-w,Lin P,2020,A radiogenomics signature for predicting the clinical outcome of bladder urothelial carcinoma.,European radiology,Journal Article,Bladder Cancer,INCLUDE,,Bladder Cancer,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI,ABSTRACT,The title and available abstract identify radiomics or pathomics applied to the in-scope task described in 'A radiogenomics signature for predicting the clinical outcome of bladder urothelial carcinoma.'.
31570249,10.1016/j.urolonc.2019.08.019,Alanee S,2020,Using adaptive genetic algorithms combined with high sensitivity single cell-based technology to detect bladder cancer in urine and provide a potential noninvasive marker for response to anti-PD1 immunotherapy.,Urologic oncology,Journal Article,Bladder Cancer,INCLUDE,,Bladder Cancer,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Using adaptive genetic algorithms combined with high sensitivity single cell-based technology to detect bladder cancer in urine and provide a potential noninvasive marker for response to anti-PD1 immunotherapy.'.
31980088,10.1016/j.artmed.2019.101746,Lorencin I,2020,Using multi-layer perceptron with Laplacian edge detector for bladder cancer diagnosis.,Artificial intelligence in medicine,"Journal Article; Research Support, Non-U.S. Gov't",Bladder Cancer,INCLUDE,,Bladder Cancer,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Using multi-layer perceptron with Laplacian edge detector for bladder cancer diagnosis.'.
32677978,10.1186/s13000-020-01002-1,Niazi MKK,2020,Semantic segmentation to identify bladder layers from H&E Images.,Diagnostic pathology,Journal Article,Bladder Cancer,INCLUDE,,Bladder Cancer,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning and computer vision applied to the in-scope task described in 'Semantic segmentation to identify bladder layers from H&E Images.'.
32738594,10.1016/j.intimp.2020.106818,Wang Y,2020,Tumor mutational burden related classifier is predictive of response to PD-L1 blockade in locally advanced and metastatic urothelial carcinoma.,International immunopharmacology,Journal Article,Bladder Cancer,INCLUDE,,Bladder Cancer,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Tumor mutational burden related classifier is predictive of response to PD-L1 blockade in locally advanced and metastatic urothelial carcinoma.'.
33127883,10.1038/s41467-020-19313-8,Kong J,2020,Network-based machine learning in colorectal and bladder organoid models predicts anti-cancer drug efficacy in patients.,Nature communications,"Journal Article; Research Support, Non-U.S. Gov't",Bladder Cancer,INCLUDE,,Bladder Cancer,INCLUDE,NOT_CONTEXT_ONLY,SCP03_NONHUMAN_PRECLINICAL,ABSTRACT_OR_METADATA_PLUS_DUAL_HUMAN_REVIEW,"Substantive ML biomarkers derived from organoid pharmacogenomics predict cisplatin response in 77 patients with bladder cancer, providing a qualifying clinical urology task."
31256249,10.1007/s00345-019-02857-w,Goldenberg MG,2020,Evidence that surgical performance predicts clinical outcomes.,World journal of urology,Journal Article; Review,Broad Reviews,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"The available evidence for 'Evidence that surgical performance predicts clinical outcomes' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
31724999,10.1097/MOU.0000000000000692,Bhandari M,2020,Artificial intelligence and robotic surgery: current perspective and future directions.,Current opinion in urology,Journal Article; Review,Broad Reviews,EXCLUDE,E01_NON_UROLOGICAL,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,SCP05_GENERAL_SURGERY_WITHOUT_UROLOGY;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"The abstract's substantive task in 'Artificial intelligence and robotic surgery: current perspective and future directions' is general or multi-specialty and does not report a separable urological, andrological, or male-reproductive AI result."
31776737,10.1007/s00345-019-03037-6,Andras I,2020,Artificial intelligence and robotics: a combination that is changing the operating room.,World journal of urology,Journal Article; Review,Broad Reviews,CONTEXT_ONLY,E10_CONTEXT_ONLY,Broad Reviews,EXCLUDE,CONTEXT_ONLY,SCP05_GENERAL_SURGERY_WITHOUT_UROLOGY;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,Override to CONTEXT_ONLY (E10). World Journal of Urology review of AI in robotic surgery synthesizing RARP methods; narrative contextual framework without primary trial dataset.
32141938,10.1097/MOU.0000000000000741,Witjes JA,2020,Developments in the follow-up of nonmuscle invasive bladder cancer: what did we learn in the last 24 months: a critical review.,Current opinion in urology,Journal Article; Review,Broad Reviews,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Developments in the follow-up of nonmuscle invasive bladder cancer: what did we learn in the last 24 months: a critical review' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
32329274,10.7507/1001-5515.201910055,Qin F,2020,[Research status and trend of artificial intelligence in the diagnosis of urinary diseases].,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,Journal Article; Review,Broad Reviews,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_LANGUAGE_BOUNDARY,PUBMED_METADATA,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
32611217,10.1089/end.2020.0137,Stai B,2020,Public Perceptions of Artificial Intelligence and Robotics in Medicine.,Journal of endourology,"Journal Article; Research Support, N.I.H., Extramural; Review",Broad Reviews,CONTEXT_ONLY,E10_CONTEXT_ONLY,Broad Reviews,EXCLUDE,CONTEXT_ONLY,CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"'Public Perceptions of Artificial Intelligence and Robotics in Medicine' provides AI reporting, governance, ethics, implementation, or research-agenda context without a primary corpus-eligible AI evaluation; it may be cited narratively but not counted."
32701718,10.1097/MOU.0000000000000797,Donswijk ML,2020,Where to next prostate-specific membrane antigen PET imaging frontiers?,Current opinion in urology,Journal Article; Review,Broad Reviews,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Where to next prostate-specific membrane antigen PET imaging frontiers?' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
32821957,10.1007/s00120-020-01294-7,Schreiber A,2020,[Artificial intelligence : What do urologists need to know?].,Der Urologe. Ausg. A,Journal Article; Review,Broad Reviews,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_LANGUAGE_BOUNDARY,PUBMED_METADATA,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
32881725,10.1097/MOU.0000000000000813,Schuettfort VM,2020,Pathomics in urology.,Current opinion in urology,"Journal Article; Research Support, Non-U.S. Gov't; Review",Broad Reviews,INCLUDE,,Broad Reviews,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify a substantive synthesis of deep learning and radiomics or pathomics in the in-scope Broad Reviews area described in 'Pathomics in urology.'.
33009150,10.1097/MOU.0000000000000824,Veneziano D,2020,VR and machine learning: novel pathways in surgical hands-on training.,Current opinion in urology,Journal Article; Review,Broad Reviews,EXCLUDE,E01_NON_UROLOGICAL,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"The substantive AI task in 'VR and machine learning: novel pathways in surgical hands-on training' is general, multi-specialty, or another organ system without a separable urological, andrological, or male-reproductive result."
33117695,10.3389/fonc.2020.565086,Girard A,2020,The Role of 18F-FDG PET/CT in Guiding Precision Medicine for Invasive Bladder Carcinoma.,Frontiers in oncology,Journal Article; Review,Broad Reviews,INCLUDE,,Broad Reviews,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify a substantive synthesis of deep learning and radiomics or pathomics in the in-scope Broad Reviews area described in 'The Role of 18F-FDG PET/CT in Guiding Precision Medicine for Invasive Bladder Carcinoma.'.
33235893,,Pai RK,2020,A review of current advancements and limitations of artificial intelligence in genitourinary cancers.,American journal of clinical and experimental urology,Journal Article; Review,Broad Reviews,INCLUDE,,Broad Reviews,INCLUDE,NOT_CONTEXT_ONLY,CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,The title and available abstract identify a substantive synthesis of deep learning and machine learning in the in-scope Broad Reviews area described in 'A review of current advancements and limitations of artificial intelligence in genitourinary cancers.'.
33299275,10.1007/s13193-020-01166-8,Egert M,2020,Machine Learning and Artificial Intelligence in Surgical Fields.,Indian journal of surgical oncology,Journal Article; Review,Broad Reviews,EXCLUDE,E01_NON_UROLOGICAL,Broad Reviews,EXCLUDE,NOT_CONTEXT_ONLY,CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"The substantive AI task in 'Machine Learning and Artificial Intelligence in Surgical Fields' is general, multi-specialty, or another organ system without a separable urological, andrological, or male-reproductive result."
32315504,10.1111/bju.15087,Bhandari M,2020,Predicting intra-operative and postoperative consequential events using machine-learning techniques in patients undergoing robot-assisted partial nephrectomy: a Vattikuti Collective Quality Initiative database study.,BJU international,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't",Implementation/ethics/reporting search stream,INCLUDE,,Implementation/ethics/reporting search stream,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Predicting intra-operative and postoperative consequential events using machine-learning techniques in patients undergoing robot-assisted partial nephrectomy: a Vattikuti Collective Quality Initiative database study.'.
32331449,10.3390/cancers12041032,Klarenbeek SE,2020,The Effect of Higher Level Computerized Clinical Decision Support Systems on Oncology Care: A Systematic Review.,Cancers,Journal Article; Review,Implementation/ethics/reporting search stream,EXCLUDE,E01_NON_UROLOGICAL,Implementation/ethics/reporting search stream,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"The substantive AI task in 'The Effect of Higher Level Computerized Clinical Decision Support Systems on Oncology Care: A Systematic Review' is general, multi-specialty, or another organ system without a separable urological, andrological, or male-reproductive result."
32514173,10.1038/s41591-020-0941-1,Sounderajah V,2020,Developing specific reporting guidelines for diagnostic accuracy studies assessing AI interventions: The STARD-AI Steering Group.,Nature medicine,Letter,Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,SCP06_GENERAL_GOVERNANCE_WITHOUT_UROLOGY;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,METADATA_ONLY,"'Developing specific reporting guidelines for diagnostic accuracy studies assessing AI interventions: The STARD-AI Steering Group' addresses general healthcare AI reporting, governance, ethics, or implementation without a urology-specific task; it may support methods context but should not contribute to corpus counts."
32825612,10.3390/cancers12092366,Ellmann S,2020,Computer-Aided Diagnosis in Multiparametric MRI of the Prostate: An Open-Access Online Tool for Lesion Classification with High Accuracy.,Cancers,Journal Article,Implementation/ethics/reporting search stream,INCLUDE,,Implementation/ethics/reporting search stream,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify a substantive AI or machine-learning application applied to the in-scope task described in 'Computer-Aided Diagnosis in Multiparametric MRI of the Prostate: An Open-Access Online Tool for Lesion Classification with High Accuracy.'.
32908283,10.1038/s41591-020-1034-x,Liu X,2020,Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension.,Nature medicine,"Guideline; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review",Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,SCP06_GENERAL_GOVERNANCE_WITHOUT_UROLOGY;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"'Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension' addresses general healthcare AI reporting, governance, ethics, or implementation without a urology-specific task; it may support methods context but should not contribute to corpus counts."
32908284,10.1038/s41591-020-1037-7,Cruz Rivera S,2020,Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension.,Nature medicine,"Guideline; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review",Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,SCP06_GENERAL_GOVERNANCE_WITHOUT_UROLOGY;CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,ABSTRACT,"'Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension' addresses general healthcare AI reporting, governance, ethics, or implementation without a urology-specific task; it may support methods context but should not contribute to corpus counts."
32983112,10.3389/fimmu.2020.01900,Chen S,2020,Biomarkers of the Response to Immune Checkpoint Inhibitors in Metastatic Urothelial Carcinoma.,Frontiers in immunology,"Journal Article; Research Support, Non-U.S. Gov't; Validation Study",Implementation/ethics/reporting search stream,INCLUDE,,Implementation/ethics/reporting search stream,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,PRIOR_HUMAN_ABSTRACT_REVIEW,The title and available abstract identify machine learning applied to the in-scope task described in 'Biomarkers of the Response to Immune Checkpoint Inhibitors in Metastatic Urothelial Carcinoma.'.
33062803,10.1117/1.JMI.7.5.057501,Bukowy JD,2020,Accurate segmentation of prostate cancer histomorphometric features using a weakly supervised convolutional neural network.,"Journal of medical imaging (Bellingham, Wash.)",Journal Article,Implementation/ethics/reporting search stream,INCLUDE,,Implementation/ethics/reporting search stream,INCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'Accurate segmentation of prostate cancer histomorphometric features using a weakly supervised convolutional neural network.'.
33089126,10.1016/j.eclinm.2020.100536,Solebo AL,2020,Implications of the artificial intelligence extensions to the guidelines for consolidated standards of reporting trials and for standard protocol item recommendations for interventional trials (the CONSORT-AI and SPIRIT-AI extensions).,EClinicalMedicine,Journal Article,Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,METADATA_ONLY,"'Implications of the artificial intelligence extensions to the guidelines for consolidated standards of reporting trials and for standard protocol item recommendations for interventional trials (the CONSORT-AI and SPIRIT-AI extensions)' provides AI reporting, governance, ethics, implementation, or research-agenda context without a primary corpus-eligible AI evaluation; it may be cited narratively but not counted."
33135401,10.4111/icu.20200086,Shin TY,2020,Expert-level segmentation using deep learning for volumetry of polycystic kidney and liver.,Investigative and clinical urology,"Journal Article; Research Support, Non-U.S. Gov't",Implementation/ethics/reporting search stream,EXCLUDE,E01_NON_UROLOGICAL,Implementation/ethics/reporting search stream,EXCLUDE,NOT_CONTEXT_ONLY,TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,PUBMED_ABSTRACT,Polycystic-kidney and liver volumetry for disease progression and drug efficacy without a separable urological task.
33256740,10.1186/s12916-020-01834-0,Johnson H,2020,Development and validation of a 25-Gene Panel urine test for prostate cancer diagnosis and potential treatment follow-up.,BMC medicine,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't",Implementation/ethics/reporting search stream,INCLUDE,,Implementation/ethics/reporting search stream,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Development and validation of a 25-Gene Panel urine test for prostate cancer diagnosis and potential treatment follow-up.'.
33937821,10.1148/ryai.2020200029,Mongan J,2020,Checklist for Artificial Intelligence in Medical Imaging (CLAIM): A Guide for Authors and Reviewers.,Radiology. Artificial intelligence,Editorial,Implementation/ethics/reporting search stream,CONTEXT_ONLY,E10_CONTEXT_ONLY,Implementation/ethics/reporting search stream,EXCLUDE,CONTEXT_ONLY,CTX01_BROAD_DOMAIN_WITHOUT_TITLE_UROLOGY,METADATA_ONLY,"'Checklist for Artificial Intelligence in Medical Imaging (CLAIM): A Guide for Authors and Reviewers' provides AI reporting, governance, ethics, implementation, or research-agenda context without a primary corpus-eligible AI evaluation; it may be cited narratively but not counted."
31802148,10.1007/s00117-019-00613-0,Hamm CA,2020,[Artificial intelligence and radiomics in MRI-based prostate diagnostics].,Der Radiologe,Journal Article; Review,Prostate Imaging,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,Prostate Imaging,EXCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_LANGUAGE_BOUNDARY,PUBMED_METADATA,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
32078543,10.1109/TMI.2020.2974574,Liu Q,2020,MS-Net: Multi-Site Network for Improving Prostate Segmentation With Heterogeneous MRI Data.,IEEE transactions on medical imaging,"Journal Article; Research Support, Non-U.S. Gov't",Prostate Imaging,INCLUDE,,Prostate Imaging,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI;TEC01_TECHNICAL_ARTIFACT_WITHOUT_CLINICAL_CUE,ABSTRACT,The title and available abstract identify deep learning applied to the in-scope task described in 'MS-Net: Multi-Site Network for Improving Prostate Segmentation With Heterogeneous MRI Data.'.
