Evidence_Type,PMID,PubMed_Language_Values,English_Code_Present,PubMed_Publication_Types,Eligibility_Outcome,Eligibility_Code,Primary_Evidence_Type,Primary_Evidence_Locator,Evidence_Accessed_UTC,Evidence_Snapshot_SHA256,Evidence_Rationale
LANGUAGE_BOUNDARY,38599593,ger,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38599593/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,38619521,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38619521/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,38639655,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38639655/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,38639663,chi,NO,Multicenter Study;English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38639663/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,38702888,fre,NO,Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38702888/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as French (fre) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,38901984,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38901984/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39046415,chi,NO,Journal Article;Review;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39046415/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39048694,ger,NO,English Abstract;Review;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39048694/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39103279,chi,NO,Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39103279/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39177349,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39177349/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39394622,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39394622/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39507988,chi,NO,Journal Article;Review;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39507988/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39563539,rus,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39563539/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Russian (rus) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39564838,rus,NO,Journal Article;Multicenter Study;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39564838/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Russian (rus) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,39939018,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/39939018/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40159133,hun,NO,Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40159133/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Hungarian (hun) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40192830,ger,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40192830/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40377545,rus,NO,Journal Article;Multicenter Study;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40377545/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Russian (rus) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40377592,rus,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40377592/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Russian (rus) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40402304,ger,NO,English Abstract;Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40402304/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40553373,ger,NO,Journal Article;Review;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40553373/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40599296,chi,NO,Journal Article;Review;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40599296/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40659882,ger,NO,English Abstract;Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40659882/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40783914,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40783914/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40783955,chi,NO,Journal Article;English Abstract;Comparative Study,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40783955/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,40788246,chi,NO,Journal Article;Review;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/40788246/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,41328465,rus,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/41328465/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Russian (rus) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,41656806,chi,NO,Journal Article;Review;English Abstract,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/41656806/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,41667933,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/41667933/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,41688286,fre,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/41688286/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as French (fre) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
CASE_REPORT_EXCEPTION,36941148,eng,YES,"Case Reports;Research Support, Non-U.S. Gov't;Journal Article",INCLUDE,,PUBMED_XML_ABSTRACT,https://pubmed.ncbi.nlm.nih.gov/36941148/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,"The PubMed abstract reports substantive deep-learning validation for real-time instrument delineation in robotic renal surgery: 65,927 labelled instruments from 15,100 frames were used for training, followed by deployment across three hospitals and four surgeons. The case-report publication-type label therefore does not trigger exclusion under the prespecified fewer-than-10-patients rule, which applies only when no AI validation is reported."
CASE_REPORT_EXCEPTION,37998590,eng,YES,Case Reports;Journal Article,INCLUDE,,PMC_FULL_TEXT,https://pmc.ncbi.nlm.nih.gov/articles/PMC10670293/,2026-08-23T01:50:52Z,cef70914a57dee2721ae1b6661482d6f246fd5e18aeebf8ca48949eba2035e84,"PMC full text reports substantive validation of a ResNet-50 convolutional neural network trained on 15 prerecorded robotic partial-nephrectomy procedures and more than 225,000 frames, with an average intersection-over-union of 97.8%, before presentation of the clinical case. The case-report publication-type label therefore does not trigger exclusion under the prespecified fewer-than-10-patients rule, which applies only when no AI validation is reported."
GENERAL_SCOPE_FULL_TEXT_CONFIRMATION,36997578,,,Journal Article,INCLUDE,,PMC_FULL_TEXT,https://pmc.ncbi.nlm.nih.gov/articles/PMC10063640/,2026-08-23T01:50:52Z,5979232c05764fd00598782f9fc2dc720f5e7b48934c346cc96a782a9fd217f5,"PMC full text explicitly evaluates the SAIS model on robot-assisted radical prostatectomy videos, focusing on needle handling and needle driving during vesicourethral anastomosis and deploying the system across USC, St. Antonius Hospital, and Houston Methodist Hospital. This is a separable urological procedure and supports inclusion."
GENERAL_SCOPE_FULL_TEXT_CONFIRMATION,36997642,,,Journal Article,INCLUDE,,PMC_FULL_TEXT,https://pmc.ncbi.nlm.nih.gov/articles/PMC10063676/,2026-08-23T01:50:52Z,f3e126964ede4e172315035830267fd675a5604545874fba1255dcaa1750d4f5,"PMC full text states that the study focused on robot-assisted radical prostatectomy and assessed needle handling and needle driving during vesicourethral anastomosis across three hospitals, including bias analyses by prostate volume and Gleason score. This is a separable urological procedure and supports inclusion."
GENERAL_SCOPE_FULL_TEXT_CONFIRMATION,40652109,,,Journal Article; Review,INCLUDE,,PMC_FULL_TEXT,https://pmc.ncbi.nlm.nih.gov/articles/PMC12255540/,2026-08-23T01:50:52Z,5979232c05764fd00598782f9fc2dc720f5e7b48934c346cc96a782a9fd217f5,"PMC full text contains a separable urology-specific synthesis, including AI-guided robot-assisted partial nephrectomy for renal tumours and transfer-learning step recognition in transurethral bladder tumour resection. These explicit urological procedures and results support inclusion within Broad Reviews."
