PMID,DOI,First_Author,Year,Title,Journal,Journal_Abbrev,Publication_Type,Original_Domain_Group,Domain_Searches,AI_Decision,Analytic_Set_Decision,Initial_Human_Audit_Decision,Abstract_Availability,Abstract_Informed_Decision,Decision_Reconciliation,Final_Domain_Group,Abstract_Informed_Rationale
38771247,10.2196/51187,Gwon YN,2024,The Use of Generative AI for Scientific Literature Searches for Systematic Reviews: ChatGPT and Microsoft Bing AI Performance Evaluation.,JMIR medical informatics,JMIR Med Inform,Journal Article,Andrology,erectile_dysfunction; llm_urology,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,LLMs & GenAI,Abstract evaluates ChatGPT/Bing AI literature searching against a Peyronie-disease systematic-review benchmark and clinical decision-support use case.
38197996,10.1007/s00345-023-04749-6,Kollitsch L,2024,How does artificial intelligence master urological board examinations? A comparative analysis of different Large Language Models' accuracy and reliability in the 2022 In-Service Assessment of the European Board of Urology.,World journal of urology,World J Urol,Journal Article,Andrology,andrology_broad; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
37997563,10.1111/bju.16209,Pan A,2024,Quality of erectile dysfunction information from ChatGPT and other artificial intelligence chatbots.,BJU international,BJU Int,Journal Article,Andrology,erectile_dysfunction; llm_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,NO_SUBSTANTIVE_ABSTRACT,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,No substantive PubMed abstract was available; retained because title and metadata clearly describe an in-scope AI/urology record.
38443941,10.1186/s12958-024-01198-7,Papamentzelopoulou MS,2024,Assessment of artificial intelligence model and manual morphokinetic annotation system as embryo grading methods for successful live birth prediction: a retrospective monocentric study.,Reproductive biology and endocrinology : RB&E,Reprod Biol Endocrinol,Journal Article,Andrology,semen_analysis,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Andrology,Abstract evaluates embryo grading/live-birth prediction in IVF; this is embryology/ART rather than urology or male reproductive health.
41219923,10.1186/s13048-025-01830-z,Ding K,2025,An early prediction model for high-quality blastocyst development based on ANA titer and baseline demographic characteristics in the first IVF/ICSI cycle.,Journal of ovarian research,J Ovarian Res,Journal Article,Andrology,semen_analysis,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Andrology,Abstract describes blastocyst-quality prediction in IVF/ICSI patients; the outcome is embryology rather than male reproductive health.
41164316,10.3389/fradi.2025.1682725,Genc O,2025,Comparison of artificial intelligence models and physicians in patient education for varicocele embolization: a double-blind randomized controlled trial.,Frontiers in radiology,Front Radiol,Journal Article,Andrology,male_infertility,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
40929291,10.1371/journal.pone.0330914,Kilic S,2025,Deep feature engineering for accurate sperm morphology classification using CBAM-enhanced ResNet50.,PloS one,PLoS One,Journal Article,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
41583305,10.7759/cureus.99969,Mohan Kumar SK,2025,Analysis of AI-Generated Patient Education Guides for Urological Conditions: A Comparative Study Between ChatGPT and Gemini.,Cureus,Cureus,Journal Article,Andrology,erectile_dysfunction; llm_urology; uti_triage,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
40941720,10.3390/diagnostics15172234,Turkoglu AK,2025,Category-Aware Two-Stage Divide-and-Ensemble Framework for Sperm Morphology Classification.,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel),Journal Article,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
40665042,10.1038/s41443-025-01135-1,Unal A,2025,Postoperative complication severity prediction in penile prosthesis implantation: a machine learning-based predictive modeling study.,International journal of impotence research,Int J Impot Res,Journal Article,Andrology,andrology_broad; erectile_dysfunction,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
41916845,10.1016/j.jpurol.2026.105877,Babu R,2026,CurvAssist: An AI assisted pipeline for penile shaft segmentation/ curvature measurement in children with hypospadias.,Journal of pediatric urology,J Pediatr Urol,Journal Article,Andrology,erectile_dysfunction,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
41753162,10.3390/jcm15041473,Grosso AA,2026,The Evolving Role of Artificial Intelligence in Andrological Surgery: Current Landscape and Future Direction.,Journal of clinical medicine,J Clin Med,Journal Article; Review,Andrology,andrology_broad; erectile_dysfunction; male_infertility; semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
41172583,10.1016/j.cmpb.2025.109132,Hernandez-Ferrandiz D,2026,AndroGen: Open-source synthetic data generation for automated sperm analysis.,Computer methods and programs in biomedicine,Comput Methods Programs Biomed,Journal Article,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
41582390,10.2174/0118715303419738251111055407,Miao D,2026,Analysis of the Relationship Between Early Estrogen Response and Cryptorchidism.,"Endocrine, metabolic & immune disorders drug targets",Endocr Metab Immune Disord Drug Targets,Journal Article,Andrology,male_infertility,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Andrology,"Abstract uses LASSO and SVM-RFE in cryptorchidism, an in-scope male reproductive/urologic condition."
41900957,10.3390/life16030438,Ozge EC,2026,Adaptive Logit Fusion for Mitigating Class Imbalance in Multi-Category Sperm Morphology Assessment.,"Life (Basel, Switzerland)",Life (Basel),Journal Article,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
32521550,10.1055/a-1171-1137,Hennig MJP,2020,[Potential for improvement by new resection and imaging techniques in TUR-B].,Aktuelle Urologie,Aktuelle Urol,Journal Article,Benign/Functional,functional_urology,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Benign/Functional,Abstract reviews TUR-B techniques and imaging without an AI/ML component.
36066079,10.7554/eLife.79378,De Bruyn H,2022,Machine learning-assisted fluoroscopy of bladder function in awake mice.,eLife,Elife,"Journal Article; Research Support, Non-U.S. Gov't",Benign/Functional,functional_urology,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Benign/Functional,"Abstract describes machine-learning bladder fluoroscopy in awake mice, which is preclinical rather than a human clinical urology application."
37587020,10.1002/advs.202303285,Jiang X,2023,Accurate Prediction of Antimicrobial Susceptibility for Point-of-Care Testing of Urine in Less than 90 Minutes via iPRISM Cassettes.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh),Journal Article,Benign/Functional,uti_triage,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
37401020,10.5213/inj.2346136.068,Kim ES,2023,Artificial Intelligence-Based Speech Analysis System for Medical Support.,International neurourology journal,Int Neurourol J,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,UNCERTAIN,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_INCLUDE,Benign/Functional,Abstract describes an artificial-intelligence speech-analysis system for neurogenic bladder risk support.
36787376,10.1097/JU.0000000000003267,Weaver JK,2023,Deep Learning of Videourodynamics to Classify Bladder Dysfunction Severity in Patients With Spina Bifida.,The Journal of urology,J Urol,"Journal Article; Research Support, Non-U.S. Gov't",Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
38338847,10.3390/ijms25031568,Akshay A,2024,Machine Learning-Based Classification of Transcriptome Signatures of Non-Ulcerative Bladder Pain Syndrome.,International journal of molecular sciences,Int J Mol Sci,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
37755608,10.1007/s11255-023-03795-8,Ding Z,2024,An automatic diagnostic system for the urodynamic study applying in lower urinary tract dysfunction.,International urology and nephrology,Int Urol Nephrol,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
39027744,10.7759/cureus.62585,Okui N,2024,Unsupervised Machine Learning Reveals a Vulvodynia-Predominant Subtype in Bladder Pain Syndrome/Interstitial Cystitis.,Cureus,Cureus,Journal Article,Benign/Functional,functional_urology; semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
39094536,10.1016/j.ejogrb.2024.07.064,Rotem R,2024,Bridging present and future: A narrative review and visionary outlook on innovative solutions for the diagnosis and treatment of urinary incontinence.,"European journal of obstetrics, gynecology, and reproductive biology",Eur J Obstet Gynecol Reprod Biol,Journal Article; Review,Benign/Functional,functional_urology,INCLUDE,EXCLUDE,UNCERTAIN,AVAILABLE,EXCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_EXCLUDE,Benign/Functional,"Abstract discusses urinary-incontinence innovation and a conceptual device, but does not describe a specific AI/ML application."
38896298,10.1007/s00270-024-03776-z,Vigneswaran G,2024,Machine Learning to Predict Prostate Artery Embolization Outcomes.,Cardiovascular and interventional radiology,Cardiovasc Intervent Radiol,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
38626440,10.1097/JU.0000000000003984,Welk B,2024,Identifying Bladder Phenotypes After Spinal Cord Injury With Unsupervised Machine Learning: A New Way to Examine Urinary Symptoms and Quality of Life.,The Journal of urology,J Urol,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
39104258,10.1177/09544119241264304,Zareen F,2024,Optimization of activity-driven event detection for long-term ambulatory urodynamics.,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine",Proc Inst Mech Eng H,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
39727030,10.1002/nau.25646,Drinnan M,2025,Moving Beyond the Bladder Diary: Does New Technology Now Allow Us to Take Investigation of LUTS Into the Community? ICI-RS 2024.,Neurourology and urodynamics,Neurourol Urodyn,Journal Article,Benign/Functional,functional_urology,INCLUDE,EXCLUDE,UNCERTAIN,AVAILABLE,EXCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_EXCLUDE,Benign/Functional,"Abstract discusses LUTS monitoring technologies and advanced analytics generally, but no explicit AI/ML application is described."
40440564,10.2196/70339,Hose BZ,2025,Use of ChatGPT for Urinary Symptom Management Among People With Spinal Cord Injury or Disease: Qualitative Study.,JMIR rehabilitation and assistive technologies,JMIR Rehabil Assist Technol,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,LLMs & GenAI,Abstract and metadata support the original human Include decision.
41355259,10.5213/inj.2550266.133,Lee JH,2025,Deep Learning-Based Uroflowmetry Curve Analysis Improves the Noninvasive Diagnosis of Lower Urinary Tract Symptoms.,International neurourology journal,Int Neurourol J,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
41437298,10.1186/s40001-025-03730-w,Lin S,2025,Novel noninvasive assessment of upper urinary tract urine flow dynamics: a deep learning-driven reconstruction model combined with CFD simulation.,European journal of medical research,Eur J Med Res,Journal Article,Benign/Functional,functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
40608890,10.1371/journal.pdig.0000896,Sarwal V,2025,Machine learning for the prediction of urosepsis using electronic health record data.,PLOS digital health,PLOS Digit Health,Journal Article,Benign/Functional,uti_triage,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Benign/Functional,Abstract and metadata support the original human Include decision.
35065220,10.1016/j.critrevonc.2022.103601,Borhani S,2022,Artificial intelligence: A promising frontier in bladder cancer diagnosis and outcome prediction.,Critical reviews in oncology/hematology,Crit Rev Oncol Hematol,Journal Article; Review,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
34143569,10.1111/bju.15518,Kaneko M,2022,Urine cell image recognition using a deep-learning model for an automated slide evaluation system.,BJU international,BJU Int,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
36271252,10.1038/s41598-022-22797-7,Yoo JW,2022,Deep learning diagnostics for bladder tumor identification and grade prediction using RGB method.,Scientific reports,Sci Rep,"Journal Article; Research Support, Non-U.S. Gov't",Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
36879192,10.1186/s12859-023-05167-6,Ciaramella A,2023,A new biomarker panel of ultraconserved long non-coding RNAs for bladder cancer prognosis by a machine learning based methodology.,BMC bioinformatics,BMC Bioinformatics,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
37175559,10.3390/ijms24097852,Grant SR,2023,Mutation Hotspots Found in Bladder Cancer Aid Prediction of Carcinogenic Risk in Normal Urothelium.,International journal of molecular sciences,Int J Mol Sci,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Bladder Cancer,Abstract reports machine-learning classification models for bladder-cancer carcinogenic risk.
37686647,10.3390/cancers15174372,Sun D,2023,"Survival Prediction of Patients with Bladder Cancer after Cystectomy Based on Clinical, Radiomics, and Deep-Learning Descriptors.",Cancers,Cancers (Basel),Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
38339803,10.1002/cpt.3176,De Carlo A,2024,Reinforcement Learning and PK-PD Models Integration to Personalize the Adaptive Dosing Protocol of Erdafitinib in Patients with Metastatic Urothelial Carcinoma.,Clinical pharmacology and therapeutics,Clin Pharmacol Ther,"Journal Article; Research Support, Non-U.S. Gov't",Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
39112099,10.4132/jptm.2024.07.13,Jeong J,2024,Artificial intelligence algorithm for neoplastic cell percentage estimation and its application to copy number variation in urinary tract cancer.,Journal of pathology and translational medicine,J Pathol Transl Med,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
39062155,10.3390/biomedicines12071583,Jiao P,2024,Prediction of HER2 Status Based on Deep Learning in H&E-Stained Histopathology Images of Bladder Cancer.,Biomedicines,Biomedicines,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
39513113,10.7150/jca.101296,Jiao P,2024,Deep learning-based computed tomography urography image analysis for prediction of HER2 status in bladder cancer.,Journal of Cancer,J Cancer,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
39003588,10.1002/cncy.22884,Liu TJ,2024,Evaluating artificial intelligence-enhanced digital urine cytology for bladder cancer diagnosis.,Cancer cytopathology,Cancer Cytopathol,Evaluation Study; Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
39841985,10.2196/56946,Cabon S,2025,Combining a Risk Factor Score Designed From Electronic Health Records With a Digital Cytology Image Scoring System to Improve Bladder Cancer Detection: Proof-of-Concept Study.,Journal of medical Internet research,J Med Internet Res,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
40893176,10.1007/s13755-025-00373-3,Ding Y,2025,Unraveling bladder cancer-related circRNA biomarkers: a hybrid model combining deep learning and statistics.,Health information science and systems,Health Inf Sci Syst,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
40500142,10.1080/10255842.2025.2516767,Gu Y,2025,Machine learning-driven construction and validation of an intra-tumoral heterogeneity-associated prognostic model for bladder urothelial carcinoma.,Computer methods in biomechanics and biomedical engineering,Comput Methods Biomech Biomed Engin,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
41244924,10.3389/fonc.2025.1664965,Hou J,2025,Explainable machine learning model predicts response to adjuvant therapy after radical cystectomy in bladder cancer.,Frontiers in oncology,Front Oncol,Journal Article,Bladder Cancer,bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
