Use_Case,Study,Title,PMID,DOI,In_Analytic_Set,Counted_in_Publication_Totals,Design,Centres,Prospective,Clinician_Comparator,External_or_Multicentre_Validation,Workflow_Implementation,Patient_or_Economic_Endpoint,Principal_Limitation,Study_Supported_Stage,Stage_Criterion_Supported,Comparator_Type,Use_Case_Final_Stage
Prostate digital pathology,"Pantanowitz L et al., 2020",An artificial intelligence algorithm for prostate cancer diagnosis in whole slide images of core needle biopsies: a blinded clinical validation and deployment study.,33328045,10.1016/S2589-7500(20)30159-X,Yes,Yes,Blinded clinical validation and deployment study,Multicentre,Yes,Yes,Yes,Yes,No,"Scanner, stain, and local workflow calibration remain critical",5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate digital pathology,"Steiner DF et al., 2020",Evaluation of the Use of Combined Artificial Intelligence and Pathologist Assessment to Review and Grade Prostate Biopsies.,33180129,10.1001/jamanetworkopen.2020.23267,Yes,Yes,AI-pathologist comparative evaluation study,Multicentre,No,Yes,Yes,No,No,"Scanner, stain, and local workflow calibration remain critical",5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate digital pathology,"Strom P et al., 2020","Artificial intelligence for diagnosis and grading of prostate cancer in biopsies: a population-based, diagnostic study.",31926806,10.1016/S1470-2045(19)30738-7,Yes,Yes,Population-based diagnostic study,Population-based cohort,No,Yes,Yes,No,No,"Scanner, stain, and local workflow calibration remain critical",3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_ALONE_VS_CLINICIAN,5
Prostate digital pathology,"Bulten W et al., 2021",Artificial intelligence assistance significantly improves Gleason grading of prostate biopsies by pathologists.,32759979,10.1038/s41379-020-0640-y,Yes,Yes,AI-assistance comparative study,Multicentre,No,Yes,Yes,No,No,"Scanner, stain, and local workflow calibration remain critical",5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate digital pathology,"Wulczyn E et al., 2021",Predicting prostate cancer specific-mortality with artificial intelligence-based Gleason grading.,35602201,10.1038/s43856-021-00005-3,Yes,Yes,Prognostic validation study,Population-based cohort,No,No,Yes,No,Yes,"Scanner, stain, and local workflow calibration remain critical",3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_VS_STANDARD_SCORE,5
Prostate digital pathology,"Raciti P et al., 2023",Clinical Validation of Artificial Intelligence-Augmented Pathology Diagnosis Demonstrates Significant Gains in Diagnostic Accuracy in Prostate Cancer Detection.,36538386,10.5858/arpa.2022-0066-OA,Yes,Yes,Clinical validation study,Clinical validation cohort,No,Yes,Yes,No,No,"Scanner, stain, and local workflow calibration remain critical",5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate digital pathology,"Flach RN et al., 2025",Prospective Clinical Implementation of Paige Prostate Detect Artificial Intelligence Assistance in the Detection of Prostate Cancer in Prostate Biopsies: CONFIDENT P Trial Implementation of Artificial Intelligence Assistance in Prostate Cancer Detection.,40036728,10.1200/CCI-24-00193,Yes,Yes,Prospective clinical implementation study,Prospective implementation cohort,Yes,Yes,No,Yes,No,"Scanner, stain, and local workflow calibration remain critical",5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Renal radiomics and renal-mass prediction,"Heller N et al., 2022",Computer-Generated R.E.N.A.L. Nephrometry Scores Yield Comparable Predictive Results to Those of Human-Expert Scores in Predicting Oncologic and Perioperative Outcomes.,34968146,10.1097/JU.0000000000002390,Yes,Yes,Comparative validation study against expert nephrometry,Single-centre,No,Yes,No,No,Yes,"Heterogeneous labels, weak transportability, and limited prospective testing",2,S2_INTERNAL_CLINICAL_VALIDATION,AI_ALONE_VS_CLINICIAN,3
Renal radiomics and renal-mass prediction,"Nie P et al., 2023",A CT-based deep learning radiomics nomogram outperforms the existing prognostic models for outcome prediction in clear cell renal cell carcinoma: a multicenter study.,37389608,10.1007/s00330-023-09869-6,Yes,Yes,Multicentre prognostic radiomics study,Multicentre,No,No,Yes,No,Yes,"Heterogeneous labels, weak transportability, and limited prospective testing",3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_VS_STANDARD_SCORE,3
Retrieval-grounded guideline support,"Hetz MJ et al., 2024",Superhuman performance on urology board questions using an explainable language model enhanced with European Association of Urology guidelines.,41646097,10.1016/j.esmorw.2024.100078,Yes,Yes,Guideline-enhanced benchmark study,Single benchmark dataset,No,No,No,No,No,Benchmarking evidence exceeds real clinical-use evidence,1,S1_TECHNICAL_BENCHMARK_OR_PROOF_OF_CONCEPT,HISTORICAL_CLINICIAN_BENCHMARK,1
Selected bladder cystoscopy systems,"Ali N et al., 2021",Deep learning-based classification of blue light cystoscopy imaging during transurethral resection of bladder tumors.,34079004,10.1038/s41598-021-91081-x,Yes,Yes,Blue-light cystoscopy classification study,Multicentre,No,No,Yes,No,No,Needs broader prospective evaluation and downstream outcome data,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,4
Selected bladder cystoscopy systems,"Wu S et al., 2022",An Artificial Intelligence System for the Detection of Bladder Cancer via Cystoscopy: A Multicenter Diagnostic Study.,34473310,10.1093/jnci/djab179,Yes,Yes,Multicentre diagnostic study,Multicentre,No,No,Yes,No,No,Needs broader prospective evaluation and downstream outcome data,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,4
Selected bladder cystoscopy systems,"Chang TC et al., 2023",Real-time Detection of Bladder Cancer Using Augmented Cystoscopy with Deep Learning: a Pilot Study.,37432899,10.1089/end.2023.0056,Yes,Yes,Prospective real-time pilot study,Single-centre,Yes,No,No,No,No,Needs broader prospective evaluation and downstream outcome data,4,S4_PROSPECTIVE_OR_INTENDED_SETTING_FEASIBILITY,NONE_STAGE_RELEVANT,4
Surgical video analytics and feedback,"Checcucci E et al., 2023",Development of Bleeding Artificial Intelligence Detector (BLAIR) System for Robotic Radical Prostatectomy.,38068407,10.3390/jcm12237355,Yes,Yes,Technical development study,Single-centre,No,No,No,No,No,Not ready for credentialing or unsupervised intraoperative decisions,1,S1_TECHNICAL_BENCHMARK_OR_PROOF_OF_CONCEPT,NONE_STAGE_RELEVANT,3
Surgical video analytics and feedback,"Gon Park S et al., 2024",Deep Learning Model for Real‑time Semantic Segmentation During Intraoperative Robotic Prostatectomy.,38585210,10.1016/j.euros.2024.02.005,Yes,Yes,Real-time segmentation technical study,Single-centre,No,No,No,No,No,Not ready for credentialing or unsupervised intraoperative decisions,2,S2_INTERNAL_CLINICAL_VALIDATION,NONE_STAGE_RELEVANT,3
Surgical video analytics and feedback,"Zuluaga L et al., 2024",AI-powered real-time annotations during urologic surgery: The future of training and quality metrics.,38142209,10.1016/j.urolonc.2023.11.002,Yes,Yes,Narrative translational review,Not applicable,No,No,No,No,No,Not ready for credentialing or unsupervised intraoperative decisions,1,S1_CONTEXT_ONLY_NOT_STAGE_ADVANCING,NOT_APPLICABLE_REVIEW,3
Surgical video analytics and feedback,"Zhao X et al., 2025",Automatic recognition of surgical phase of robot-assisted radical prostatectomy based on artificial intelligence deep-learning model and its application in surgical skill evaluation: a joint study of 18 medical education centers.,40640619,10.1007/s00464-025-11967-z,Yes,Yes,Phase-recognition study,18-centre educational network,No,No,Yes,No,No,Not ready for credentialing or unsupervised intraoperative decisions,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
UTI triage and stewardship support,"Seheult JN et al., 2023","Development, Evaluation, and Multisite Deployment of a Machine Learning Decision Tree Algorithm To Optimize Urinalysis Parameters for Predicting Urine Culture Positivity.",37227272,10.1128/jcm.00291-23,Yes,Yes,"Multisite development, validation, and deployment study",Multisite,Yes,No,Yes,Yes,Yes,Needs site-level transportability and stewardship governance,5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,NONE_STAGE_RELEVANT,5
